year	month	day	hour	temperature	rel_hum	wind_spd	wind_dir
2006	6	1	00:00	20.35	63.64	1.015	157.7
2006	6	1	00:30	19.82	68.91	1.324	157.6
2006	6	1	01:00	19.09	73.8	1.097	161.8
2006	6	1	01:30	18.86	74.9	1.325	150.8
2006	6	1	02:00	18.62	75.2	1.223	166.4
2006	6	1	02:30	18.43	77.3	1.456	144.2
2006	6	1	03:00	17.44	84.8	1.587	169.8
2006	6	1	03:30	17.29	84.9	1.344	165.5
2006	6	1	04:00	17.33	82.3	1.111	164.5
2006	6	1	04:30	16.96	83.9	1.173	171.2
2006	6	1	05:00	16.81	83.9	1.035	163.2
2006	6	1	05:30	16.41	87.3	1.301	142.8
2006	6	1	06:00	15.97	90	1.393	156.8
2006	6	1	06:30	16.44	86.5	1.4	136.7
2006	6	1	07:00	17.46	82.1	1.491	155.8
2006	6	1	07:30	20.34	64.69	1.067	158.5
2006	6	1	08:00	23.4	47.01	1.492	168.3
2006	6	1	08:30	25.62	38.98	1.354	168.4
2006	6	1	09:00	27.61	34.98	1.317	154.5
2006	6	1	09:30	29.45	30.38	1.501	147.6
2006	6	1	10:00	31.74	21.75	1.413	150.2
2006	6	1	10:30	34.02	14.42	1.217	94.6
2006	6	1	11:00	35.72	12.49	0.781	140.7
2006	6	1	11:30	36.07	10.55	1.528	50.68
2006	6	1	12:00	35.8	9.49	2.192	36.58
2006	6	1	12:30	36.31	8.38	2.364	36.2
2006	6	1	13:00	37.02	7.95	2.161	4.653
2006	6	1	13:30	36.47	8.15	2.472	0.416
2006	6	1	14:00	36.23	8.08	2.621	14.2
2006	6	1	14:30	36.17	10.34	2.133	359.8
2006	6	1	15:00	35.81	12.53	1.972	349.1
2006	6	1	15:30	35.79	13.28	2.043	352
2006	6	1	16:00	35.89	11.29	1.955	342.6
2006	6	1	16:30	35.99	10.79	1.817	350.7
2006	6	1	17:00	35.38	13.47	1.628	351.8
2006	6	1	17:30	34.78	13.82	1.243	350.3
2006	6	1	18:00	34.77	14.36	0.951	344.8
2006	6	1	18:30	33.79	22.06	1.285	250.6
2006	6	1	19:00	31.67	27.73	1.474	240.7
2006	6	1	19:30	29.87	28.33	1.139	205.4
2006	6	1	20:00	28.29	36.23	1.232	183.3
2006	6	1	20:30	26.77	40.64	1.351	178.3
2006	6	1	21:00	25.39	42.62	1.488	164.6
2006	6	1	21:30	23.71	49.95	1.619	157.9
2006	6	1	22:00	22.84	53.84	1.769	164.2
2006	6	1	22:30	21.99	59.67	1.402	174.6
2006	6	1	23:00	21.83	59.64	0.831	183.5
2006	6	1	23:30	21.48	61.79	1.149	149.8
2006	6	2	00:00	21.01	63.06	0.723	166.1
2006	6	2	00:30	20.89	64.28	1.229	141.4
2006	6	2	01:00	19.8	71.7	1.508	147.5
2006	6	2	01:30	19.2	75.8	1.712	150.2
2006	6	2	02:00	18.6	79.7	1.807	152.1
2006	6	2	02:30	18.2	82	1.732	155.1
2006	6	2	03:00	18.26	79.9	1.388	170.3
2006	6	2	03:30	17.87	83.6	1.519	160.5
2006	6	2	04:00	17.38	87.9	1.629	167.2
2006	6	2	04:30	17.26	88.4	1.643	165.5
2006	6	2	05:00	17.16	88	1.404	180.1
2006	6	2	05:30	17.03	87.8	1.348	160.5
2006	6	2	06:00	16.88	88	1.537	177.1
2006	6	2	06:30	17.4	83.8	1.515	167.2
2006	6	2	07:00	18.51	78.6	1.849	168.6
2006	6	2	07:30	20.09	71.1	1.854	175.3
2006	6	2	08:00	21.77	64.7	1.903	164
2006	6	2	08:30	23.31	58.78	2.173	169.6
2006	6	2	09:00	25.21	51.37	2.029	167.1
2006	6	2	09:30	27.68	42.55	1.841	181.6
2006	6	2	10:00	30.06	35.78	1.582	184.1
2006	6	2	10:30	32.72	29.62	1.397	200.2
2006	6	2	11:00	34.58	25.08	1.242	197
2006	6	2	11:30	36.29	20.94	1.172	193.2
2006	6	2	12:00	37.49	15.97	1.205	240.9
2006	6	2	12:30	37.9	15.6	1.8	78.2
2006	6	2	13:00	36.88	16.13	2.168	26.79
2006	6	2	13:30	37.28	13.73	2.061	5.435
